PickupDatetimeUTC,DropoffDatetimeUTC,PassengerCount,TripDistance,StoreAndFwd,PickupLocationId,DropoffLocationId,FareAmount,TipAmount
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.1,"No ",141,151,12.50,3.25
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.15,"No ",170,231,11.00,2.96
01/01/0001 00:00:00,01/01/0001 00:00:00,1,6.1,"No ",170,160,18.50,11.58
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5.4,"No ",48,87,20.00,4.75
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.62,"No ",48,142,5.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.9,"No ",114,107,10.50,2.86
01/01/0001 00:00:00,01/01/0001 00:00:00,2,5.9,"No ",114,236,23.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.48,"No ",234,229,14.50,2.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.41,"No ",234,229,13.50,1.80
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.8,"No ",161,234,13.00,3.36
01/01/0001 00:00:00,01/01/0001 00:00:00,2,5.74,"No ",161,88,25.50,5.86
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.85,"No ",48,238,7.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.85,"No ",48,238,7.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.9,"No ",43,48,16.00,3.95
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.13,"No ",43,48,8.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.41,"No ",107,4,7.00,2.16
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.6,"No ",107,170,7.50,2.26
01/01/0001 00:00:00,01/01/0001 00:00:00,2,2.06,"No ",48,238,8.00,2.36
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.9,"No ",48,239,11.50,2.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.16,"No ",79,113,7.50,2.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5.16,"No ",79,48,20.50,4.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.9,"No ",238,142,9.50,2.65
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.61,"No ",238,237,8.00,2.95
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.35,"No ",237,48,17.50,4.26
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.2,"No ",237,229,6.00,1.95
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.02,"No ",141,163,6.50,2.06
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.96,"No ",141,107,10.50,1.70
01/01/0001 00:00:00,01/01/0001 00:00:00,2,2.18,"No ",148,137,10.00,3.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,1.7,"No ",148,107,8.00,1.20
